Designator,Mid X,Mid Y,Rotation,Layer
J1,177.165,-61.595,0.0,top
J2,164.465,-72.39,90.0,top
J3,189.21,-72.39,270.0,top
J4,176.99,-99.475,180.0,top
Q1,176.99,-74.57,180.0,top
R1,163.885,-87.63,270.0,top
R2,189.92,-87.63,90.0,top
U1,182.365,-87.62,180.0,top
U2,171.42,-87.62,180.0,top
